dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-01-05,2019-01,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-01-12,2019-01,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-01-19,2019-01,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-01-26,2019-01,2,2.0,0,0.0005920837225093475,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-02-02,2019-02,4,4.0,0,0.001184167445018695,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-02-09,2019-02,4,4.0,0,0.001184167445018695,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-02-16,2019-02,6,6.0,0,0.0017762511675280422,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-02-23,2019-02,15,15.0,0,0.004440627918820105,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-03-02,2019-03,8,8.0,0,0.00236833489003739,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-03-09,2019-03,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-03-16,2019-03,8,8.0,0,0.00236833489003739,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D104,influenza-associated-mortality,Influenza-associated mortality,US,United States,D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,2019-03-30,2019-03,6,3.0,0,0.0017762511675280422,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
