dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-01-01,2010-01,118,26.645161290322584,0,0.008730642207380877,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-02-01,2010-02,78,17.612903225806452,0,0.005771102476065325,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-03-01,2010-03,107,26.75,0,0.007916768781269101,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-04-01,2010-04,138,31.16129032258064,0,0.010210412073038654,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-05-01,2010-05,168,39.199999999999996,0,0.012430066871525315,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-06-01,2010-06,196,44.25806451612903,1,0.014501744683446203,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-07-01,2010-07,234,54.6,0,0.017313307428195975,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-08-01,2010-08,256,57.806451612903224,0,0.01894105428041953,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-09-01,2010-09,235,53.06451612903226,0,0.017387295921478866,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-10-01,2010-10,235,54.83333333333333,0,0.017387295921478866,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D043,typhus,Typhus,CN,China,D043,Typhus,流行性和地方性斑疹伤寒,Bacterial,2010-11-01,2010-11,191,43.12903225806451,0,0.01413180221703176,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T13:57:26.492499+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
